Borough,Datetime,Entries,Exits
Bk,2018-03-06,1233138.0,784877.0
Bk,2018-03-07,913951.0,624489.0
Bk,2018-03-08,1189605.0,736165.0
Bk,2018-03-09,1202559.0,781644.0
Bk,2018-03-10,709600.0,523579.0
Bk,2018-03-11,565934.0,426296.0
Bk,2018-03-12,1171652.0,745740.0
Bk,2018-03-13,1129364.0,725240.0
Bk,2018-03-14,1218800.0,773790.0
Bk,2018-03-15,1217756.0,776551.0
Bk,2018-03-16,1193328.0,767908.0
Bk,2018-03-17,693548.0,497009.0
Bk,2018-03-18,567662.0,424394.0
Bk,2018-03-19,1184491.0,748956.0
Bk,2018-03-20,1203424.0,763432.0
Bk,2018-03-21,656858.0,461327.0
Bk,2018-03-22,1155847.0,716039.0
Bk,2018-03-23,1204100.0,772256.0
Bk,2018-03-24,721224.0,522156.0
Bk,2018-03-25,569102.0,419983.0
Bk,2018-03-26,1188937.0,757485.0
Bk,2018-03-27,1210579.0,769493.0
Bk,2018-03-28,1211329.0,771841.0
Bk,2018-03-29,1203136.0,773949.0
Bk,2018-03-30,977826.0,655592.0
Bk,2018-03-31,686096.0,493780.0
Bk,2018-04-01,521139.0,400428.0
Bk,2018-04-02,950813.0,626669.0
Bk,2018-04-03,1042318.0,684681.0
Bk,2018-04-04,1065468.0,700560.0
Bk,2018-04-05,1094480.0,718193.0
Bk,2018-04-06,1028974.0,673473.0
Bk,2018-04-07,665757.0,489552.0
Bk,2018-04-08,560818.0,415336.0
Bk,2018-04-09,1170615.0,750094.0
Bk,2018-04-10,1194516.0,753795.0
Bk,2018-04-11,1207066.0,770027.0
Bk,2018-04-12,1224415.0,784684.0
Bk,2018-04-13,1208234.0,773080.0
Bk,2018-04-14,755085.0,547073.0
Bk,2018-04-15,507886.0,380708.0
Bk,2018-04-16,1082160.0,691102.0
Bk,2018-04-17,1210111.0,772272.0
Bk,2018-04-18,1228608.0,782048.0
Bk,2018-04-19,1206597.0,773023.0
Bk,2018-04-20,1210975.0,783303.0
Bk,2018-04-21,707355.0,520426.0
Bk,2018-04-22,583599.0,435380.0
Bk,2018-04-23,1187659.0,755272.0
Bk,2018-04-24,1211370.0,774996.0
Bk,2018-04-25,1176942.0,751630.0
Bk,2018-04-26,1242158.0,789694.0
Bk,2018-04-27,1180626.0,770441.0
Bk,2018-04-28,718054.0,516221.0
Bk,2018-04-29,572138.0,417023.0
Bk,2018-04-30,1180594.0,753756.0
Bk,2018-05-01,1232305.0,783075.0
Bk,2018-05-02,1240964.0,799150.0
Bk,2018-05-03,1256733.0,812766.0
Bk,2018-05-04,1205846.0,784861.0
Bk,2018-05-05,743203.0,543318.0
Bk,2018-05-06,574150.0,431648.0
Bk,2018-05-07,1194068.0,767635.0
Bk,2018-05-08,1227741.0,789143.0
Bk,2018-05-09,1238090.0,799540.0
Bk,2018-05-10,1227524.0,793199.0
Bk,2018-05-11,1218714.0,793668.0
Bk,2018-05-12,673324.0,494819.0
Bk,2018-05-13,516230.0,387326.0
Bk,2018-05-14,1177472.0,757693.0
Bk,2018-05-15,1204596.0,780436.0
Bk,2018-05-16,1202937.0,774162.0
Bk,2018-05-17,1206434.0,774482.0
Bk,2018-05-18,1199840.0,780050.0
Bk,2018-05-19,656470.0,488434.0
Bk,2018-05-20,571396.0,425558.0
Bk,2018-05-21,1148542.0,747247.0
Bk,2018-05-22,1181777.0,765637.0
Bk,2018-05-23,1218157.0,783649.0
Bk,2018-05-24,1220183.0,789705.0
Bk,2018-05-25,1167698.0,769024.0
Bk,2018-05-26,668602.0,484781.0
Bk,2018-05-27,492740.0,370594.0
Bk,2018-05-28,574926.0,415845.0
Bk,2018-05-29,1170466.0,758253.0
Bk,2018-05-30,1193529.0,779739.0
Bk,2018-05-31,1182100.0,776055.0
Bk,2018-06-01,1177461.0,773464.0
Bk,2018-06-02,697589.0,508447.0
Bk,2018-06-03,570635.0,425267.0
Bk,2018-06-04,1168780.0,760149.0
Bk,2018-06-05,1183775.0,772339.0
Bk,2018-06-06,1207496.0,798533.0
Bk,2018-06-07,1163395.0,760549.0
Bk,2018-06-08,1192649.0,784429.0
Bk,2018-06-09,720443.0,525965.0
Bk,2018-06-10,570547.0,417550.0
Bk,2018-06-11,1150582.0,751779.0
Bk,2018-06-12,1185507.0,775141.0
Bk,2018-06-13,1169241.0,769818.0
Bk,2018-06-14,1196559.0,782959.0
Bk,2018-06-15,1116480.0,741270.0
Bk,2018-06-16,727045.0,536627.0
Bk,2018-06-17,581939.0,438209.0
Bk,2018-06-18,1129915.0,746753.0
Bk,2018-06-19,1164859.0,760521.0
Bk,2018-06-20,1167503.0,778704.0
Bk,2018-06-21,1172205.0,775281.0
Bk,2018-06-22,1130771.0,757829.0
Bk,2018-06-23,640944.0,482862.0
Bk,2018-06-24,608271.0,454421.0
Bk,2018-06-25,1118148.0,752797.0
Bk,2018-06-26,1162212.0,777369.0
Bk,2018-06-27,1109748.0,744101.0
Bk,2018-06-28,1076565.0,711500.0
Bk,2018-06-29,1087944.0,732995.0
Bk,2018-06-30,699137.0,515373.0
Bk,2018-07-01,546499.0,424200.0
Bk,2018-07-02,1014242.0,682827.0
Bk,2018-07-03,1021802.0,694789.0
Bk,2018-07-04,603448.0,463912.0
Bk,2018-07-05,1034383.0,713461.0
Bk,2018-07-06,962502.0,659163.0
Bk,2018-07-07,623240.0,489717.0
Bk,2018-07-08,536132.0,427657.0
Bk,2018-07-09,1073285.0,728457.0
Bk,2018-07-10,1103562.0,741581.0
Bk,2018-07-11,1112396.0,752744.0
Bk,2018-07-12,1113835.0,747694.0
Bk,2018-07-13,1090133.0,737475.0
Bk,2018-07-14,679567.0,511654.0
Bk,2018-07-15,534622.0,414400.0
Bk,2018-07-16,1070876.0,724599.0
Bk,2018-07-17,1050040.0,710261.0
Bk,2018-07-18,1116100.0,750399.0
Bk,2018-07-19,1116794.0,753527.0
Bk,2018-07-20,1080420.0,732636.0
Bk,2018-07-21,628427.0,480205.0
Bk,2018-07-22,488815.0,386088.0
Bk,2018-07-23,1032080.0,686391.0
Bk,2018-07-24,1091710.0,728267.0
Bk,2018-07-25,1063527.0,717025.0
Bk,2018-07-26,1108760.0,736492.0
Bk,2018-07-27,1051789.0,716903.0
Bk,2018-07-28,660667.0,482251.0
Bk,2018-07-29,567960.0,430204.0
Bk,2018-07-30,1056013.0,714570.0
Bk,2018-07-31,1096577.0,734835.0
Bk,2018-08-01,1098677.0,741968.0
Bk,2018-08-02,1102383.0,744464.0
Bk,2018-08-03,1045897.0,708613.0
Bk,2018-08-04,633661.0,480215.0
Bk,2018-08-05,578769.0,446482.0
Bk,2018-08-06,1051034.0,716417.0
Bk,2018-08-07,1078216.0,734936.0
Bk,2018-08-08,1080002.0,733878.0
Bk,2018-08-09,1093820.0,736259.0
Bk,2018-08-10,1060928.0,723870.0
Bk,2018-08-11,537089.0,416948.0
Bk,2018-08-12,501396.0,390179.0
Bk,2018-08-13,977904.0,664084.0
Bk,2018-08-14,1045600.0,707905.0
Bk,2018-08-15,1078098.0,735710.0
Bk,2018-08-16,1070132.0,727862.0
Bk,2018-08-17,1032395.0,707093.0
Bk,2018-08-18,605443.0,466501.0
Bk,2018-08-19,493633.0,390849.0
Bk,2018-08-20,994480.0,681749.0
Bk,2018-08-21,1026043.0,704318.0
Bk,2018-08-22,1032979.0,705794.0
Bk,2018-08-23,1051951.0,718085.0
Bk,2018-08-24,1039317.0,711071.0
Bk,2018-08-25,649524.0,492076.0
Bk,2018-08-26,556837.0,432887.0
Bk,2018-08-27,1044478.0,705124.0
Bk,2018-08-28,1054244.0,711787.0
Bk,2018-08-29,1057459.0,715677.0
Bk,2018-08-30,1061329.0,728490.0
Bk,2018-08-31,1010384.0,691402.0
Bk,2018-09-01,633588.0,477486.0
Bk,2018-09-02,558972.0,425979.0
Bk,2018-09-03,608424.0,471704.0
Bk,2018-09-04,1079751.0,738987.0
Bk,2018-09-05,1165551.0,783951.0
Bk,2018-09-06,1194177.0,789901.0
Bk,2018-09-07,1170682.0,771844.0
Bk,2018-09-08,641062.0,474959.0
Bk,2018-09-09,496654.0,382952.0
Bk,2018-09-10,932505.0,628532.0
Bk,2018-09-11,1015869.0,679257.0
Bk,2018-09-12,1213370.0,789914.0
Bk,2018-09-13,1229155.0,796389.0
Bk,2018-09-14,1201519.0,784409.0
Bk,2018-09-15,694371.0,522075.0
Bk,2018-09-16,597410.0,463070.0
Bk,2018-09-17,1190053.0,772546.0
Bk,2018-09-18,1110684.0,730016.0
Bk,2018-09-19,1020437.0,687917.0
Bk,2018-09-20,1235199.0,799581.0
Bk,2018-09-21,1206830.0,784867.0
Bk,2018-09-22,707218.0,530101.0
Bk,2018-09-23,563645.0,439633.0
Bk,2018-09-24,1151071.0,747032.0
Bk,2018-09-25,1117206.0,724939.0
Bk,2018-09-26,1216187.0,787404.0
Bk,2018-09-27,1228497.0,796612.0
Bk,2018-09-28,1163515.0,761309.0
Bk,2018-09-29,668071.0,507893.0
Bk,2018-09-30,544723.0,428682.0
Bk,2018-10-01,1140193.0,745956.0
Bk,2018-10-02,1166003.0,760866.0
Bk,2018-10-03,1237137.0,802976.0
Bk,2018-10-04,1240483.0,806272.0
Bk,2018-10-05,1212429.0,789898.0
Bk,2018-10-06,642786.0,482766.0
Bk,2018-10-07,536178.0,410524.0
Bk,2018-10-08,859890.0,593704.0
Bk,2018-10-09,1204336.0,776327.0
Bk,2018-10-10,1225746.0,792346.0
Bk,2018-10-11,1192325.0,780265.0
Bk,2018-10-12,1213538.0,789183.0
Bk,2018-10-13,626591.0,462480.0
Bk,2018-10-14,528410.0,401289.0
Bk,2018-10-15,1169930.0,760139.0
Bk,2018-10-16,1228403.0,798032.0
Bk,2018-10-17,1229156.0,797445.0
Bk,2018-10-18,1231366.0,799156.0
Bk,2018-10-19,1210626.0,786974.0
Bk,2018-10-20,649072.0,473847.0
Bk,2018-10-21,522895.0,393342.0
Bk,2018-10-22,1182848.0,761088.0
Bk,2018-10-23,1223713.0,790413.0
Bk,2018-10-24,1239082.0,801782.0
Bk,2018-10-25,1244977.0,797474.0
Bk,2018-10-26,1213426.0,792216.0
Bk,2018-10-27,543572.0,409683.0
Bk,2018-10-28,534739.0,397337.0
Bk,2018-10-29,1185809.0,767059.0
